DAY,MONTH,YEAR,CUSTOMER_SSN,SUPPLIER_SSN,BRANCH_NAME,PRODUCT_NAME,QUANTITY_SOLD
19,August,2007,965823749,311223231,SAPP_Virginia,Shaving Gel,4
19,August,2007,965826804,304035039,SAPP_Virginia,Leather jacket,2
19,August,2007,965870683,301004007,SAPP_Virginia,Formal Ladies Shirt,4
19,August,2007,572109812,300001003,SAPP_Virginia,Hand Glove,2
19,August,2007,830478959,318303317,SAPP_Virginia,Party wear trousers,5
3,October,2007,749361445,302008009,SAPP_Virginia,Sun glasses,7
3,October,2007,965823749,310221222,SAPP_Virginia,Formal Mens Shirts,2
3,October,2007,965821564,305040049,SAPP_Virginia,Mens wear,4
3,October,2007,198782381,303010034,SAPP_Virginia,Avon musk,7
17,November,2007,965823749,314247251,SAPP_Virginia,Caps,3
17,November,2007,965826804,307135158,SAPP_Virginia,Formal Mens trousers,5
17,November,2007,965870683,319318361,SAPP_Virginia,Cargos,7
17,November,2007,572109812,311223231,SAPP_Virginia,Shaving Gel,3
17,November,2007,830478959,312232236,SAPP_Virginia,Thermal Wear,5
1,January,2008,749361445,313237246,SAPP_Virginia,Formal Ladies trousers,7
1,January,2008,965823749,306050134,SAPP_Virginia,Kids Wear,3
1,January,2008,965821564,302008009,SAPP_Virginia,Sun glasses,6
1,January,2008,198782381,309212220,SAPP_Virginia,Ladies Jeans,3
15,February,2008,965823749,312232236,SAPP_Virginia,Thermal Wear,6
15,February,2008,965826804,313237246,SAPP_Virginia,Formal Ladies trousers,4
15,February,2008,965870683,306050134,SAPP_Virginia,Kids Wear,3
15,February,2008,572109812,302008009,SAPP_Virginia,Sun glasses,2
31,March,2008,830478959,309212220,SAPP_Virginia,Ladies Jeans,6
31,March,2008,749361445,304035039,SAPP_Virginia,Leather jacket,4
31,March,2008,965823749,301004007,SAPP_Virginia,Formal Ladies Shirt,3
31,March,2008,965821564,300001003,SAPP_Virginia,Hand Glove,5
15,May,2008,198782381,318303317,SAPP_Virginia,Party wear trousers,2
15,May,2008,965823749,302008009,SAPP_Virginia,Sun glasses,4
15,May,2008,965826804,310221222,SAPP_Virginia,Formal Mens Shirts,5
15,May,2008,965870683,305040049,SAPP_Virginia,Mens wear,6
29,June,2008,572109812,303010034,SAPP_Virginia,Avon musk,2
29,June,2008,830478959,314247251,SAPP_Virginia,Caps,4
29,June,2008,749361445,307135158,SAPP_Virginia,Formal Mens trousers,6
29,June,2008,965823749,319318361,SAPP_Virginia,Cargos,3
13,August,2008,965826804,311223231,SAPP_Virginia,Shaving Gel,4
13,August,2008,965821564,312232236,SAPP_Virginia,Thermal Wear,6
13,August,2008,198782381,313237246,SAPP_Virginia,Formal Ladies trousers,3
13,August,2008,965823749,306050134,SAPP_Virginia,Kids Wear,4
27,September,2008,965826804,302008009,SAPP_Virginia,Sun glasses,5
27,September,2008,965870683,309212220,SAPP_Virginia,Ladies Jeans,4
27,September,2008,572109812,304035039,SAPP_Virginia,Leather jacket,6
27,September,2008,830478959,301004007,SAPP_Virginia,Formal Ladies Shirt,4
11,November,2008,749361445,300001003,SAPP_Virginia,Hand Glove,5
11,November,2008,198782381,318303317,SAPP_Virginia,Party wear trousers,6
11,November,2008,965823749,302008009,SAPP_Virginia,Sun glasses,3
11,November,2008,965826804,310221222,SAPP_Virginia,Formal Mens Shirts,5
26,December,2008,965870683,305040049,SAPP_Virginia,Mens wear,4
26,December,2008,572109812,303010034,SAPP_Virginia,Avon musk,6
26,December,2008,830478959,314247251,SAPP_Virginia,Caps,5
9,February,2009,965821564,307135158,SAPP_Virginia,Formal Mens trousers,7
9,February,2009,198782381,319318361,SAPP_Virginia,Cargos,3
9,February,2009,965823749,311223231,SAPP_Virginia,Shaving Gel,5
9,February,2009,965826804,312232236,SAPP_Virginia,Thermal Wear,7
26,March,2009,965870683,313237246,SAPP_Virginia,Formal Ladies trousers,4
26,March,2009,572109812,306050134,SAPP_Virginia,Kids Wear,7
26,March,2009,830478959,302008009,SAPP_Virginia,Sun glasses,4
